fn_num,fn_type,status,fn_text,matched_ref
57,,,"Baudry, ""Ideological Effects of the Basic Cinematographic Apparatus,"" Film Quarterly 28, no. 2 (1974–75): 39–47. 영화관의 기술적·물리적 조건이 관객의 주체적 위치와 이데올로기적 환상을 고정시킨다고 주장한다.",
58,,,"Francesco Casetti, ""The Senses of the Place,"" Journal of Cinematic Studies 1, no. 1 (2020): 21–23. 관람의 주체를 참석과 수행으로 구분한다. 이 구분은 영화를 '장소 기반 미디어'로 인식하는 영화 경험의 근본적 변화를 설명한다.",
59,,,"Brian Massumi, Parables for the Virtual: Movement, Affect, Sensation (Durham: Duke University Press, 2002), 24–26.",
60,,,"들뢰즈·가타리, 『천 개의 고원』, 161–162. 개인을 통제하는 기존의 주체성을 벗어나, 탈영토화와 새로운 배치를 통해 새로운 사유와 감각을 창조하는 과정이다.",
61,,,"박선, 『카메라 소메티카』, 25. 그리스어 '소마(Soma, 몸)'에서 알 수 있듯, 시네마가 인간의 신체를 통해 세계를 감각하는 방식으로 전환되었음을 의미한다.",
62,,,"같은 책, 25. 드헬드 기법과 카메라 소메티카의 결정적인 차이는 '기법(technique)'과 '패러다임(paradigm)'의 차이에 있다. 바쟁의 표현을 빌리자면, 핸드헬드의 경우 카메라는 여전히 외부 세계를 관찰하는 '창문'의 역할을 수행하며, 그 창문이 조금 흔들릴 뿐이다.",
63,,,"〈파란만장〉의 불안정한 이미지를 아이폰이라는 기기의 기술적 한계로 보는 것은 타당하지 않다. KT의 제작 지원을 받은 프로젝트에서 짐벌(Gimbal)이나 리그(Rig) 시스템을 구비하는 것은 재정적으로 전혀 문제가 되지 않았다. 따라서 본고는 이러한 미학적 결과가 기술의 부재에서 비롯된 것이 아니라, 오히려 기계적 안정성을 의도적으로 거부하고 '신체적 현존감'을 극대화하려는 연출적 결단이었음을 전제로 논지를 전개한다.",
64,,,"롤랑 바르트, 『밝은 방: 사진에 관한 노트』, 김웅권 옮김 (서울: 동문선, 2006), 133. 사진의 기술적인 기원 때문에 어두운 통로의 관념과 연결시키는 것은 분명 잘못된 일다. 우리는 밝은방을 언급해야한다...(생략)...이미지의 본질은 내밀함 없이 전적으로 바깥에 있으나 내면의 사유보다 더 접근할 수 없고 더 신비하기 때문이다.",
65,,,"김예솔비, 「[기획] 미술관과 극장, 교환의 조건들」, 『씨네21』, 2022년 12월 8일, https://cine21.com/news/view/?mag_id=101597. 신은실 평론가는 이 시기를 영화감독들이 미술관으로 진입하고 미술관이 블랙박스를 설치하기 시작한 제도적 전환기로 짚고 있다.",
66,,,"유운성, 「위기의 아름다움」, 『씨네21』. 단순히 장르적 융합이 아닌 두 매체 및 제도의 위기적 교환이라는 관점으로 미술관 시네마 현상을 해석한다.",
67,,,"Brian O'Doherty, Inside the White Cube: The Ideology of the Gallery Space (Berkeley: University of California Press, 1986). 작품을 맥락으로부터 분리하고 순수성을 강조하는 전시 미학을 비판적으로 지칭한다.",
68,,,"A. L. Rees, A History of Experimental Film and Video (London: BFI, 2011), 160–180; 이택광, 「미술관 시네마의 정치적 이중성」, 『미술비평』 10 (2012): 24–40.",
69,,,"Casetti, Lumière Galaxy, 21–23. 및 본고 2.4.2. '정동적 수행' 논의.",
70,,,'아이폰으로 찍힌/미술관에 전시된 이미지다'라는 사실을 끊임없이 상기시킨다는 의미로서 사용.,
71,,,"박찬욱, 이정현이라는 유명인, SF/호러 요소를 활용한 대중적인 단편 영화의 형태의 상업영화의 겉보기를 갖추고 있다.",
